Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Павленко,Станіслав,Володимирович,Чоловік,2002-04-24,Швачка,селище Родинське,"сквер Шполянська, буд. 7 кв. 44, Хотин, 30126",070 866 38 66,bairakstefan@example.net
Адаменко,Орест,Іванович,Чоловік,1944-09-10,Математик,селище Бровари,"площа Локомотивна, буд. 42 кв. 15, Івано-Франківськ, 02401",+380 27 075 28 29,stanislav43@example.net
Остапчук,Аврелій,Андрійович,Чоловік,1949-07-16,Фрілансер,селище Вилкове,"парк Чорноморський, буд. 030 кв. 547, Остер, 52500",092 617 23 39,kyrylenkoiryna@example.org
Проценко,Панас,Сергійович,Чоловік,1992-05-23,Ботанік,місто Стебник,"набережна Одеської громади, буд. 540, Радехів, 66771",047 962-04-01,qderevianko@example.org
Гузій,Михайло,Дмитрович,Чоловік,1950-11-06,Педагог,селище Сновськ,"узвіз Штурвальна, буд. 466 кв. 708, Заліщики, 92370",087 138 67 54,allastus@example.com
Рудик,Борислав,Андрійович,Чоловік,1941-12-02,Актор,село Пологи,"шосе 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 355, Каховка, 80032",+380 84 559-04-78,tychynaamaliia@example.org
Ірванець,Адам,Степанович,Чоловік,1982-03-11,Графік,село Харків,"узвіз Лінійна, буд. 3, Сквира, 26730",096 383-70-65,khrystyna90@example.net
Даценко,Орхип,Іванович,Чоловік,1957-09-15,Астрофізик,місто Самбір,"узвіз Кам’янецький, буд. 25, Старий Крим, 17276",158-25-54,liudmylavasylevych@example.com
Деряжний,Аркадій,Богданович,Чоловік,1950-06-27,Локсмайстер,село Лутугине,"провулок Буджацька, буд. 33, Сніжне, 35284",+380 (67) 041-98-97,iieromenko@example.com
Таран,Охрім,Олександрович,Чоловік,1952-08-30,Петрограф,хутір Хрестівка,"парк Ольгіївський узвіз, буд. 23 кв. 68, Глиняни, 68085",028 411-46-55,mamchurielysei@example.org
Сомко,Тимофій,Павлович,Чоловік,1950-10-21,Астроном,хутір Богодухів,"вулиця Спортивний, буд. 0 кв. 77, Молочанськ, 30097",096 948-08-22,akulenkorozaliia@example.org
Черінько,Аврелій,Арсенійович,Чоловік,2006-11-06,Перекладач,місто Новодністровськ,"площа Гена Іоганна, буд. 7, Хрустальний, 95063",+380 45 718-68-07,iaroslavabalaban@example.net
Петренко,Зиновій,Григорович,Чоловік,2006-04-13,Єгер,хутір Хрестівка,"парк Стеценко, буд. 870, Ржищів, 80315",+380 (68) 248-51-91,korzhliudmyla@example.com
Чумаченко,Арсен,Юрійович,Чоловік,1960-06-29,Кінорежисер,селище Берестин,"набережна Черкаська, буд. 45, Чорнобиль, 06265",033 459-95-89,larysaudovychenko@example.org
Забіла,Олег,Іванович,Чоловік,1961-06-09,Каскадер,місто Костопіль,"вулиця Ігоря Бедзая, буд. 4, Володимир-Волинський, 01932",+380 83 774 41 47,solomonparasiuk@example.com
Колодуб,Альберт,Дмитрович,Чоловік,1944-02-20,Кур'єр,селище Арциз,"провулок Локомотивний 1-й, буд. 0 кв. 085, Кам'янка-Дніпровська, 45279",+380 40 558-71-13,yprykhodko@example.net
Слюсар,Феофан,Іванович,Чоловік,1965-07-04,Мінералог,селище Бердичів,"парк Платанова, буд. 654, Ладижин, 74484",+380 43 177-67-95,vsheremet@example.org
Полтавець,Лукʼян,Павлович,Чоловік,1963-08-26,Художник,хутір Бар,"узвіз Уманська, буд. 722, Таврійськ, 51095",065 241 74 40,ihor53@example.net
Рудик,Гліб,Максимович,Чоловік,1975-09-07,Ріелтор,село Петрово-Красносілля,"площа Зернова, буд. 64 кв. 70, Ківерці, 57191",074 056-05-02,aaronbabych@example.org
Давиденко,Миколай,Дмитрович,Чоловік,1991-11-25,Гицель,село Ковель,"узвіз Хаджибейський, буд. 116, Амвросіївка, 85420",779 51 91,svitlanabashtan@example.net
Тихий,Богуслав,Максимович,Чоловік,1999-10-14,Бібліограф,місто Зборів,"проспект Цукровий, буд. 3, Суми, 71005",609 94 52,arkadiihavrylyshyn@example.com
Атаманюк,Омелян,Євгенович,Чоловік,1968-06-04,Реставратор,селище Щастя,"набережна Небесної Сотні, буд. 9, Лебедин, 31058",052 296-89-09,androshchukrozaliia@example.net
Юрчук,Владислав,Васильович,Чоловік,1999-04-19,Електромонтажник,селище Черкаси,"шосе Лазурний 6-й, буд. 315, Новий Буг, 35369",050 363 98 12,marko92@example.org
Дутка,Олесь,Дмитрович,Чоловік,2005-10-29,Детектив,село Торецьк,"сквер Житомирський 4-й, буд. 5 кв. 790, Самбір, 32608",019 575-94-57,zhukeduard@example.net
Баклан,Володимир,Євгенович,Чоловік,1994-07-16,Електрик,село Южноукраїнськ,"площа Соляний 7-й, буд. 1, Попасна, 05316",019 74 07,wmasokha@example.org
Бабко,Віталій,Олексійович,Чоловік,1984-07-06,Підприємець,село Снятин,"площа Садовського, буд. 60 кв. 83, Зміїв, 65743",095 31 77,eduardavramenko@example.net
Свистун,Дмитро,Іванович,Чоловік,1951-08-15,Епідеміолог,селище Зоринськ,"узвіз Василя Данилевича, буд. 74, Берестин, 98134",601 12 71,vira45@example.net
Кириленко,Климент,Максимович,Чоловік,1950-01-06,Кухар,село Здолбунів,"проспект Георгія Гамова, буд. 8, Вовчанськ, 03269",538 42 42,orysiaiashchenko@example.com
Гук,Тарас,Тимофійович,Чоловік,1987-09-26,Будник,село Винники,"проспект Поїзна, буд. 612, Зимогір'я, 36589",+380 06 029 79 50,lysenkozakhar@example.org
Зубко,Ростислав,Олексійович,Чоловік,1970-02-06,Золотар,село Нововолинськ,"вулиця Святослава Ріхтера, буд. 8, Лозова, 09086",038 060-09-52,eduardderevianko@example.com
Заїка,Георгій,Володимирович,Чоловік,1983-10-20,Агроном,селище Перещепине,"провулок Київське, буд. 882 кв. 9, Глухів, 71783",+380 00 807 76 26,ivanbabarychenko@example.org
Заїка,Остап,Павлович,Чоловік,1940-01-31,Кухар,хутір Златопіль,"узвіз Прорізна, буд. 3, Докучаєвськ, 56712",003 564 87 48,anzhela24@example.net
Дзиндра,Варфоломій,Григорович,Чоловік,1993-04-07,Стоматолог,місто Ірміно,"набережна Лиманна, буд. 683 кв. 7, Сновськ, 87302",+380 78 876-75-82,lytvyntetiana@example.net
Андрусенко,Онисим,Степанович,Чоловік,1958-04-30,Живописець,місто Гірське,"сквер Західний 2-й, буд. 96, Комарно, 03842",421-97-67,albina98@example.org
Василечко,Устим,Максимович,Чоловік,1973-02-25,Провізор,село Радомишль,"проспект Студентський 1-й, буд. 06 кв. 11, Чортків, 42945",+380 48 022-54-28,hannabaran@example.net
Худобʼяк,Альберт,Юрійович,Чоловік,1977-07-18,Астронавт,місто Корець,"площа Керченська, буд. 61, Миргород, 63048",097 415 55 41,makar11@example.com
Вернидуб,Орхип,Васильович,Чоловік,1942-12-31,Кінолог,селище Вовчанськ,"шосе Проточний, буд. 331, Білгород-Дністровський, 56324",+380 35 125 42 72,zabilamykhailo@example.com
Приймак,Олександр,Сергійович,Чоловік,1982-07-24,Патологоанатом,селище Щолкіне,"набережна Бессарабська, буд. 5 кв. 23, Остер, 47263",+380 83 948-59-31,uchaika@example.org
Ярема,Охрім,Петрович,Чоловік,1993-10-02,Фермер,місто Золочів,"набережна Садова, буд. 506, Золотоноша, 62668",+380 75 436-18-76,azar86@example.com
Якимчук,Стефан,Юрійович,Чоловік,1953-05-30,Географ,хутір Вільногірськ,"вулиця Обривиста, буд. 8, Ковель, 29138",+380 12 967-31-63,pavlykliudmyla@example.org
Дараган,Леопольд,Петрович,Чоловік,1999-06-24,Дерун,село Южноукраїнськ,"узвіз Пилипа Орлика, буд. 6, Авдіївка, 25685",938 29 97,pmishchenko@example.net
Іваненко,Гордій,Володимирович,Чоловік,1954-06-19,Акушер,хутір Гола Пристань,"набережна Хортицька, буд. 501, Ялта, 74776",795 98 22,svitlana69@example.com
Чарниш,Андрій,Олексійович,Чоловік,1940-07-03,Фармацевт,село Бар,"шосе 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 99 кв. 1, Хотин, 93055",813 87 06,xruban@example.org
Калениченко,Арсен,Євгенович,Чоловік,1984-08-30,Дерун,хутір Жашків,"парк Житомирська, буд. 580, Снігурівка, 42672",+380 (66) 757-01-40,danna57@example.org
Карпа,Варфоломій,Олександрович,Чоловік,1979-11-04,Кур'єр,місто Щастя,"узвіз 1-й Академічний тупик, буд. 8, Лиман, 80152",050-24-74,qtovstukha@example.net
Саєнко,Франц,Олексійович,Чоловік,2002-05-04,Бізнесмен,хутір Сарни,"провулок Чернишевського, буд. 684, Таврійськ, 95533",+380 34 289-61-46,paverchenko@example.org
Арсенич,Олесь,Григорович,Чоловік,1982-12-23,Пілот,село Бучач,"площа Локомотивний 1-й, буд. 903, Тячів, 59422",+380 58 196-15-92,vkonoplenko@example.com
Цісик,Нестор,Дмитрович,Чоловік,1991-08-29,Електромонтажник,селище Петрово-Красносілля,"сквер Пантелеймонівська, буд. 593, Мукачево, 65158",922 16 60,nesterenkoviacheslav@example.org
Засядько,Михайло,Андрійович,Чоловік,1975-04-03,Астрофізик,селище Миргород,"провулок Політкаторжан, буд. 408, Богодухів, 19854",063 886-23-78,qiaremko@example.net
Тягнибок,Адам,Павлович,Чоловік,1939-03-13,Бібліотекар,хутір Горохів,"шосе Аеропортівський 6-й, буд. 5 кв. 435, Хуст, 91688",074 042 94 57,ihor24@example.com
Конопля,Максим,Тимофійович,Чоловік,1976-04-09,Електромонтажник,місто Сміла,"вулиця Світанку, буд. 4 кв. 859, Рудки, 34567",+380 17 210 17 55,halyna75@example.net
Бандурка,Іван,Миколайович,Чоловік,1946-08-08,Кушнір,селище Зугрес,"узвіз Лятошинського, буд. 19 кв. 44, Знам'янка, 37447",+380 (27) 992-86-71,klyment15@example.org
Бабак,Адам,Павлович,Чоловік,1972-09-09,Дизайнер,хутір Алушта,"шосе Прилуцький, буд. 502, Кам'янське, 90157",+380 19 849-68-16,lkonoplenko@example.org
Ярема,Давид,Павлович,Чоловік,1993-11-03,Будник,село Семенівка,"узвіз Танфільєва, буд. 99, Рубіжне, 08749",+380 40 542-65-12,spas02@example.org
Щербань,Богдан,Максимович,Чоловік,1998-01-17,Соціолог,село Шумськ,"сквер Лінія 49-та, буд. 91 кв. 1, Бахмут, 25459",+380 (98) 676-29-15,rostyslavsirko@example.org
Андрієвич,Віталій,Тимофійович,Чоловік,1997-05-14,Бібліотекар,хутір Перемишляни,"проспект Дачний, буд. 5, Бучач, 56115",+380 (56) 412-58-72,audovenko@example.org
Єрченко,Трохим,Андрійович,Чоловік,2000-05-23,Історик,місто Трускавець,"сквер Володимира Терещенка, буд. 31 кв. 65, Тальне, 02870",+380 (26) 509-87-64,ada28@example.com
Яремків,Спас,Богданович,Чоловік,1944-11-13,Маркетолог,селище Пирятин,"проспект Прохоровська, буд. 57, Погребище, 64917",+380 (85) 117-32-25,fartushniakparmen@example.org
Шевченко,Герман,Андрійович,Чоловік,1952-04-20,Стиліст,місто Южноукраїнськ,"шосе Дмитра Годзенка, буд. 34, Сторожинець, 74188",009 077-31-61,chervonenkoanzhela@example.com
Дейнеко,Степан,Андрійович,Чоловік,1939-05-28,Гірник,село Багачеве,"провулок Київське, буд. 8 кв. 766, Харцизьк, 29380",048 576 47 04,parmen51@example.com
Вівчаренко,Семен,Петрович,Чоловік,1955-01-20,Педагог,хутір Ланівці,"провулок Маріупольська, буд. 77, Коростишів, 14067",019 521 97 96,bandurataras@example.com
Гречко,Соломон,Олексійович,Чоловік,1989-04-20,Гицель,селище Городище,"шосе Павла Клепацького, буд. 0 кв. 924, Лиман, 59902",127 49 34,tytarenkolukian@example.com
Забашта,Єлисей,Максимович,Чоловік,2002-01-18,Епідеміолог,селище Краматорськ,"сквер Луїджі Іоріні, буд. 57 кв. 4, Миколаїв, 13599",+380 07 499-87-88,askorobohatko@example.org
Арсенич,Остап,Романович,Чоловік,1990-10-01,Фотограф,хутір Арциз,"провулок Варненська, буд. 0 кв. 8, Горлівка, 89050",+380 43 702 58 21,abramenkopriska@example.org
Фурс,Варфоломій,Григорович,Чоловік,1955-11-17,Стоматолог,місто Мена,"провулок Рожева, буд. 529, Чугуїв, 66005",030 414 92 25,xshchors@example.net
Іщак,Пармен,Тимофійович,Чоловік,1940-05-21,Диригент,селище Мар'їнка,"сквер Василя Кандинського, буд. 8 кв. 1, Полтава, 66347",+380 65 915-54-44,marta61@example.net
Ісаєвич,Валентин,Володимирович,Чоловік,1967-06-23,Конструктор,село Рогатин,"сквер Сабанський, буд. 462, Ясинувата, 71061",+380 06 496-95-05,okhrimhohol@example.com
Іщак,Ілля,Миколайович,Чоловік,1988-09-07,Різноробочий,селище Тростянець,"набережна Амбулаторна, буд. 86 кв. 0, Тлумач, 60882",+380 46 701 70 28,martalytvynenko@example.net
Цимбал,Леон,Арсенійович,Чоловік,1988-06-12,Вчитель,село Зоринськ,"шосе Ризька, буд. 8 кв. 826, Ладижин, 79465",+380 (50) 096-10-66,vitalii09@example.com
Бевзенко,Владислав,Олександрович,Чоловік,1961-10-14,Бухгалтер,селище Коростишів,"провулок Гоголя, буд. 1, Тульчин, 78307",+380 (33) 066-42-25,solomiia33@example.net
Бездітко,Леонід,Миколайович,Чоловік,1971-06-24,Юрист,місто Бібрка,"узвіз Флотський 3-й, буд. 226, Оріхів, 41850",+380 79 811-47-78,haivoronskyiboryslav@example.org
Філіпенко,Ігор,Максимович,Чоловік,1962-05-22,Складальник,хутір Мукачево,"проспект Іподромний, буд. 8, Пологи, 45771",098 395-65-04,martaiemets@example.com
Бандура,Максим,Васильович,Чоловік,1978-09-25,Флорист,село Апостолове,"шосе Кондрашина, буд. 52, Перевальськ, 49199",983-94-66,larysa85@example.net
Чумак,Владислав,Сергійович,Чоловік,1954-03-29,Слідчий,місто Нова Одеса,"парк Берегова, буд. 9, Богодухів, 12335",019 952-27-18,danna41@example.net
Килимник,Микита,Олексійович,Чоловік,2003-06-08,Менеджер,село Ворожба,"площа Гетьманський, буд. 7 кв. 546, Белз, 63099",+380 67 093-48-68,sliusaremiliia@example.com
Макогон,Валерій,Олексійович,Чоловік,1964-06-05,Нотаріус,село Луганськ,"провулок Світанку, буд. 21 кв. 898, Жашків, 87330",+380 44 575 92 95,rsheremet@example.com
Гайда,Соломон,Олександрович,Чоловік,1979-01-20,Каскадер,хутір Гадяч,"шосе Каретний, буд. 866, Белз, 41239",+380 (28) 973-04-39,sliusarparmen@example.org
Данчук,Мартин,Васильович,Чоловік,1999-05-28,Ді-джей,село Генічеськ,"площа Пресича Олександра, буд. 6 кв. 3, Малин, 17223",118 56 07,ivashchuk@example.net
Литвин,Григорій,Петрович,Чоловік,1970-02-10,Кіноактор,село Хорол,"сквер Клинова, буд. 4 кв. 2, Ясинувата, 23361",604 81 71,serhiiiashchuk@example.net
Худобʼяк,Євген,Петрович,Чоловік,1951-12-16,Каскадер,хутір Новоград-Волинський,"парк Владислава Домбровського, буд. 3, Дніпро, 46801",+380 62 258-26-18,bchumachenko@example.org
Носенко,Пармен,Іванович,Чоловік,1987-11-18,Кухар,селище Єнакієве,"проспект Сергія Параджанова, буд. 3 кв. 50, Довжанськ, 55770",+380 57 368-95-69,leontii08@example.com
Гуцуляк,Зорян,Олександрович,Чоловік,1967-09-11,Маркетолог,хутір Переяслав,"площа Отонівський, буд. 1, Бахмач, 28845",+380 72 227-97-36,mgzhytska@example.net
Данилюк,Леон,Богданович,Чоловік,1964-09-11,Слідчий,місто Боярка,"шосе Василя Стуса, буд. 9 кв. 104, Молочанськ, 98679",+380 70 318 35 97,leopoldtovstolis@example.net
Петрик,Данило,Андрійович,Чоловік,1962-02-05,Електрослюсар,хутір Малин,"провулок Аграрна, буд. 7, Нова Одеса, 32082",+380 89 253 91 51,iustynashukhevych@example.org
Демʼянюк,Ігнат,Євгенович,Чоловік,1997-03-16,Нотаріус,селище Алмазна,"площа Валерія Самофалова, буд. 46 кв. 5, Луцьк, 08638",300 16 24,moskalielysei@example.net
Гоголь-Яновський,Устим,Андрійович,Чоловік,1989-04-10,Диригент,місто Тернопіль,"узвіз Хаджибейський, буд. 4 кв. 4, Броди, 13535",+380 36 381-51-66,skopenkoavrelii@example.com
Гоголь,Феофан,Григорович,Чоловік,1979-04-19,Інженер,селище Зоринськ,"площа Водопровідний 3-й, буд. 734 кв. 703, Богодухів, 50823",007 780-90-28,panteleimon98@example.net
Батіг,Хома,Іванович,Чоловік,1991-05-24,Електротехнік,село Курахове,"шосе Штабний, буд. 737, Кам'янка-Бузька, 04030",+380 20 163-81-58,adam79@example.net
Юрчук,Аркадій,Андрійович,Чоловік,1951-04-16,Кінорежисер,хутір Заводське,"шосе Климовича, буд. 339, Іршава, 30613",+380 41 642-25-66,ihuzenko@example.org
Бабенко,Богдан,Арсенійович,Чоловік,1941-10-06,Машиніст,місто Вижниця,"вулиця Басейна, буд. 168, Бердичів, 19978",079 981 83 73,pbabko@example.com
Сич,Микита,Степанович,Чоловік,2006-12-19,Актор,село Василівка,"вулиця Кавказький, буд. 1 кв. 75, Новомиргород, 97031",060 439 32 47,wonufriienko@example.org
Олійник,Мартин,Сергійович,Чоловік,2003-07-23,Піаніст,хутір Новодружеськ,"проспект 12-та ст. Великого Фонтану пляж, буд. 0 кв. 54, Ніжин, 65349",248-97-34,zynovii70@example.org
Чумак,Ілля,Володимирович,Чоловік,1990-09-09,Паралегал,селище Шепетівка,"шосе Лінія 43-тя, буд. 98 кв. 1, Долинська, 57955",+380 14 450 55 18,vasylhaida@example.org
Товстуха,Михайло,Юрійович,Чоловік,1995-09-07,Євнух,хутір Монастирище,"набережна Лютеранський, буд. 046 кв. 97, Волочиськ, 54170",087-63-43,shmorhunpanas@example.org
Єрошенко,Юстим,Олександрович,Чоловік,1969-10-29,Педагог,місто Новгород-Сіверський,"парк Луїджі Іоріні, буд. 672, Кадіївка, 48024",730 89 16,stelmakharsen@example.com
Аронець,Лесь,Іванович,Чоловік,1984-10-29,Педагог,місто Рені,"набережна Офіцерська, буд. 1, Глиняни, 66644",035 275-36-07,rhaidamaka@example.com
Забара,Зиновій,Васильович,Чоловік,1951-12-07,Кушнір,місто Дніпрорудне,"площа Політкаторжан, буд. 71, Карлівка, 16797",464-45-07,myron70@example.com
Гаврилюк,Симон,Григорович,Чоловік,1974-10-30,Електрослюсар,селище Тростянець,"узвіз Сірожупанників, буд. 499, Знам'янка, 44255",+380 14 329-66-88,iaroshspas@example.org
Рак,Юстим,Дмитрович,Чоловік,1944-09-23,Піаніст,хутір Добропілля,"площа Улицька, буд. 96 кв. 987, Соснівка, 24550",038 964-77-16,klymentskyba@example.com
Захаренко,Сергій,Юрійович,Чоловік,1964-11-09,Історик,село Часів Яр,"проспект Роздольна, буд. 109 кв. 9, Лиман, 83892",+380 56 417-87-94,kovpaksvitlana@example.com
Баклан,Валерій,Богданович,Чоловік,2006-03-24,Візажист,селище Березань,"набережна Олександра Білостінного, буд. 0 кв. 2, Сторожинець, 28937",452 95 96,klavdiiahavrysh@example.net
Заруба,Климент,Павлович,Чоловік,1940-06-04,Бізнесмен,хутір Івано-Франківськ,"вулиця Колонічна, буд. 367 кв. 09, Лубни, 93492",+380 98 811-33-53,ekovalenko@example.org
Дрозд,Володимир,Богданович,Чоловік,1988-11-18,Швачка,село Біла Церква,"провулок Миколи Костомарова, буд. 80, Городок, 52084",+380 70 568-72-60,zlatoslava44@example.org
Шиян,Геннадій,Іванович,Чоловік,1998-12-31,Бібліограф,селище Монастирище,"узвіз Басейна, буд. 780, Теплодар, 73595",+380 15 027 15 64,nataliianosenko@example.org
Нестайко,Аркадій,Іванович,Чоловік,1942-08-26,Електротехнік,село Кобеляки,"вулиця Сталепрокатна, буд. 21 кв. 244, Прилуки, 16029",+380 55 441 51 21,pazhazha@example.com
Власюк,Орест,Миколайович,Чоловік,1988-10-26,Програміст,селище Ясинувата,"парк Гілельса, буд. 14 кв. 9, Алушта, 81350",+380 26 747-52-74,vasylpetryk@example.org
Бабʼюк,Ярослав,Григорович,Чоловік,1957-11-14,Підприємець,хутір Вашківці,"набережна Ромашкова, буд. 86 кв. 59, Коростень, 79079",929 46 43,ielysaveta34@example.net
Вдовиченко,Андрій,Павлович,Чоловік,2003-02-23,Програміст,місто Бердичів,"сквер Херсонський, буд. 587 кв. 893, Чистякове, 34705",+380 67 203-26-40,viktoriia05@example.com
Рябець,Вадим,Юрійович,Чоловік,1987-11-30,Краєзнавець,хутір Голубівка,"шосе Павла Зеленого, буд. 56 кв. 5, Бершадь, 48428",+380 05 430-07-43,liliiadatsiuk@example.org
Запорожець,Аарон,Олександрович,Чоловік,1973-03-02,Провізор,місто Тараща,"шосе 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 14, Подільськ, 74801",033 569-97-65,nesterenkoustym@example.com
Гавришкевич,Спас,Олексійович,Чоловік,1941-06-28,Стропальник,село Шахтарське,"вулиця Бардаха, буд. 85, Кременець, 38260",078 150-48-48,nazar41@example.com
Баштан,Олесь,Володимирович,Чоловік,1971-03-30,Штукатур,хутір Комарно,"парк Супутників, буд. 983 кв. 307, Хрестівка, 81850",083 35 27,valentynazaichenko@example.com
Мазепа,Костянтин,Степанович,Чоловік,1961-01-09,Фізик,село Вільногірськ,"площа Учнівська, буд. 561 кв. 45, Фастів, 82831",030 688-30-56,violettahavrylenko@example.com
Чекалюк,Франц,Євгенович,Чоловік,1999-07-23,Футболіст,селище Бахчисарай,"провулок Біляївська, буд. 3 кв. 7, Іловайськ, 05616",789 33 89,lshyian@example.net
Онищенко,Левко,Степанович,Чоловік,1965-10-28,Драматург,місто Іллінці,"парк Альпіністів, буд. 24 кв. 293, Ірміно, 33844",+380 72 152-78-55,qsalii@example.org
Лаба,Олекса,Павлович,Чоловік,1960-01-06,Педагог,село Волочиськ,"площа Шефська, буд. 32, Лиман, 04099",080 952 36 76,sdziuba@example.com
Павленко,Миколай,Григорович,Чоловік,1993-08-14,Епідеміолог,хутір Прилуки,"проспект Добровольців, буд. 6, Дубровиця, 94464",195 89 62,ushablii@example.org
Овсієнко,Веніямин,Олександрович,Чоловік,1950-03-11,Електротехнік,селище Снятин,"узвіз Килимова, буд. 91 кв. 49, Алушта, 94747",+380 (51) 644-24-02,bcherednyk@example.net
Деревʼянко,Йосип,Богданович,Чоловік,1947-06-04,Водій,місто Родинське,"парк Амбулаторний, буд. 6 кв. 9, Ізмаїл, 75637",+380 76 961 33 99,mykhaliuksymon@example.net
Алексійчук,Амвросій,Юрійович,Чоловік,2007-05-04,Мікробіолог,хутір Довжанськ,"парк Ізмаїльська, буд. 462 кв. 154, Кам'янка (Черкаська область), 37169",+380 11 417-22-48,ulupii@example.org
Гайденко,Панас,Дмитрович,Чоловік,1950-07-12,Філолог,місто Берислав,"проспект Урожайна, буд. 0 кв. 0, Вишгород, 90209",+380 29 494 56 65,khudobiakkyrylo@example.org
Єрошенко,Пармен,Олександрович,Чоловік,1954-09-16,Електрослюсар,місто Рені,"провулок Артилерійська, буд. 88, Балаклія, 88622",+380 50 498-93-37,oleksa23@example.net
Давиденко,Болеслав,Миколайович,Чоловік,1972-02-05,Режисер,хутір Енергодар,"сквер Сортувальна 2-га, буд. 64, Слов'янськ, 53113",152 83 54,zlatoslavashtokalo@example.org
